3,DIVANO
4,POLTRONA
5,TAVOLO
6,ACCESSORI
7,LAMPADE
8,TAPPETTO
9,QUADRO
10,COMODINI
11,SETTIMANALI
12,MADIE
13,MOBILE TV
14,SEDIE
15,POUF
16,TAVOLINO
17,CONSOLLE
18,SPECCHIO
20,LIBRERIA
