74,3,1,8,,PELLICCIA NERA,230X230
75,5,1,12,MIDA,"STRUTTURA LEGNO SCURO SPAZZOLATO, INTERNI LACCATI LUCIDO MATTONE",280X60
31,2,1,5,ATHOS ,"TOP LACCATO BIANCO, STRUTTURA CROMO",P.90 L.190/260 CIRCA
76,6,1,7,GRANDE FONTANA,VETRO BIANCO,H.80
77,25,1,9,,QUADRO A RIGHE ORIZZONTALI,150X100
78,9,1,6,,VASO BIANCO NERO,D.21 H.18
79,9,1,6,,VASO BIANCO NERO,D.18 H.30
80,9,1,6,,VASO BIANCO NERO,D.36 H.34
81,9,1,6,,VASO BIANCO NERO,D.11 H.45
82,9,1,6,,VASO BIANCO NERO,D.15 H.26
83,19,1,6,,VASO COLORE NERO FERRO,D.25 H.52
84,19,1,6,,VASO COLORE NERO FERRO,D.25 H.60
85,26,2,7,TOIO,BASE NERA,
86,2,1,3,LUIS,RIVESTIMENTO IN TESSUTO,
87,2,1,15,LUIS,RIVESTIMENTO IN TESSUTO,115X95
88,5,2,4,FEBO,TESSUTO ARANCIONE,
89,2,1,13,PAB,LACCATO SABBIA CON ANTA SCORREVOLE,360X180 P.65
90,27,1,7,SPUMONE,LAMPADA DA TAVOLO ,H.90 D.40
91,28,1,8,ARKAD,TAPPETO A RIGHE,300X200
92,12,1,7,FORTUNY,LAMPADA A TERRA COLORE NERO,
93,2,1,6,BUNCH,PORTAFIORI COLORE NERO,D.15 H.30
94,6,1,7,3247,"LAMPADA A TERRA, PARALUME VETRO STRUTTURA CROMO",D.46 H.180
95,29,1,6,,VASSOIO IN VETRO,30X30
96,19,1,18,CAADRE,SPECCHIO A TERRA ,L.105 H.195
97,2,1,3,BEND SOFA,"RIVESTIMENTO IN TESSUTO VIOLA, CUCITURA ROSSA",
98,13,1,7,SWINGADING,BASE AZZURRA,
99,2,1,16,FAT FAT,"TOP LACCATO OPACO BIANCO, STRUTTURA CROMO",D.92 H.40
100,2,1,16,FAT FAT,"TOP LACCATO OPACO BIANCO, STRUTTURA CROMO",D.62 H.33
101,2,1,4,HUSK,"SCOCCA BIANCA, BASE LEGNO SCURO, RIVESTIMENTO IN TESSUTO BIANCO",
102,2,1,16,FRANK,LACCATO SENAPE,D.35 H.47
103,5,1,16,SIMPLICE,CROMATO,46X46 H.51
104,5,1,16,SIMPLICE,CROMATO,46X46 H.51
105,5,1,16,SIMPLICE,CROMATO,46X46 H.51
106,5,1,16,SIMPLICE,CROMO,35X35 H.47
107,30,1,7,COUPE,LAMPADA DA TAVOLO COLORE BIANCO,D.40 H.35
108,2,1,6,JOKER,VASO COLORE GRIGIO,D.23 H.21
109,23,2,7,DO WITH,LAMPADA DA TERRA COLORE NERO,D.27 H.182
110,31,1,4,UNA CHAIR,"PELLE NERA, SCHIENALE ALTO, BRACCIOLI",
111,32,1,4,AERON,FULL OPTIONAL,
112,33,1,6,NEW POT HIGH,VASO COLORE BIANCO OPACO,D.33 H.90
113,33,1,6,NEW POT HIGH,VASO COLORE GHIACCIO LUCIDO,D.33 H.90
114,33,1,6,SANTA VASE,VASO COLORE TERRACOTTA,D.40 H.85
115,33,1,6,IN ORBITA,VASO  COLORE BIANCO OPACO,D.68 H.20
116,33,1,6,IN ORBITA,VASO COLORE GRIGIO OPACO,D.68 H.20
117,33,1,6,DINGHY,SOTTOVASO COLORE BIANCO  OPACO,D.32
118,33,1,6,BO-TANICA,ANNAFFIATOIO COLORE GRIGIO OPACO,
119,34,1,6,TWIST,ATTACCAPANNI LEGNO SCURO,D.30 H.165
120,34,1,6,TWIST,ATTACCAPANNI COLORATO,D.30 H.165
121,14,1,6,HANGER,"ATTACCAPANNI STRUTTURA CROMO, APPENDINI ROSSI",H.175
122,20,1,6,HUMPHREY,ATTACCAPANNI BIANCO/TRASPARENTE,H.175
